Date,Close/Last,Volume,Open,High,Low
01/12/2024,409.56,39594950,410.40,411.25,408.15
01/11/2024,409.35,54536200,409.79,411.2004,404.242
01/10/2024,408.50,33962770,406.07,409.515,405.17
01/09/2024,405.75,39132860,401.91,406.69,401.71
01/08/2024,404.95,42473800,397.99,405.24,397.8399
01/05/2024,396.75,44922810,396.45,399.56,395.34
01/04/2024,396.28,39432800,396.44,399.59,396.06
01/03/2024,398.33,47002800,399.93,401.00,397.89
01/02/2024,402.59,58026950,405.84,406.09,400.24
12/29/2023,409.52,42662120,411.28,411.64,407.58
12/28/2023,411.30,27029150,412.67,412.92,410.94
12/27/2023,411.50,31980480,410.95,411.7875,410.08
12/26/2023,410.88,22722550,409.25,411.56,409.15
12/22/2023,408.38,34314000,409.00,409.97,406.4787
12/21/2023,407.77,45568910,407.06,408.14,404.47
12/20/2023,403.08,54042440,408.35,410.4699,402.90
12/19/2023,409.16,35711860,407.54,409.28,407.345
12/18/2023,407.08,46609990,404.93,407.99,404.60
12/15/2023,405.34,62896650,404.18,406.5399,403.57
12/14/2023,403.39,55447810,404.98,406.30,400.34
12/13/2023,403.74,55408130,399.62,404.36,398.8399
12/12/2023,398.67,39221150,395.56,398.79,394.41
12/11/2023,395.52,41198020,391.74,395.79,391.53
12/08/2023,392.17,46687530,388.67,392.62,388.4801
12/07/2023,390.43,49593550,388.07,391.27,386.96
12/06/2023,385.05,41994070,390.27,390.37,384.70
12/05/2023,387.29,42932960,384.39,388.50,384.21
12/04/2023,386.32,51186940,386.09,386.595,382.66
12/01/2023,389.94,40490070,387.75,390.54,386.0726
11/30/2023,388.83,52834380,390.08,390.55,385.82
11/29/2023,389.81,38811750,392.69,394.14,389.46
11/28/2023,390.19,35491120,388.41,390.78,388.05
11/27/2023,389.17,34139660,389.01,391.1499,388.28
11/24/2023,389.51,15718830,389.65,390.25,388.50
11/22/2023,390.06,44178570,390.57,393.07,389.04
11/21/2023,388.47,43336990,389.01,389.23,386.70
11/20/2023,390.74,44536670,386.05,391.41,386.05
11/17/2023,386.04,46622750,385.21,387.07,384.29
11/16/2023,385.95,45343540,384.84,386.19,383.56
11/15/2023,385.62,54141390,387.25,387.75,384.235
11/14/2023,385.33,67792630,383.71,386.26,383.18
11/13/2023,377.21,40733510,376.79,378.28,375.24
11/10/2023,378.39,58368440,371.82,378.54,371.28
11/09/2023,370.07,53859420,373.64,374.80,369.57
11/08/2023,372.94,35663370,373.08,373.79,370.62
11/07/2023,372.70,50777400,370.27,373.58,369.045
11/06/2023,369.21,38848740,368.49,369.78,366.91
11/03/2023,367.71,53280460,364.75,369.02,364.52
11/02/2023,363.44,58162440,361.54,363.68,360.30
11/01/2023,356.96,58992670,351.72,357.5298,351.62
10/31/2023,350.87,47671910,349.23,351.25,346.62
10/30/2023,349.20,55298540,347.83,350.54,346.45
10/27/2023,345.31,63476710,346.43,348.84,344.08
10/26/2023,343.66,78621430,349.12,350.07,342.35
10/25/2023,350.34,71190540,356.70,356.88,349.75
10/24/2023,359.13,47082080,357.51,359.91,355.79
10/23/2023,355.67,60665190,353.26,359.26,351.1199
10/20/2023,354.60,72559720,359.46,360.04,354.37
10/19/2023,359.97,72274240,364.81,366.02,359.16
10/18/2023,363.37,54280490,365.67,367.91,362.02
10/17/2023,368.20,50999100,365.81,369.92,363.66
10/16/2023,369.41,44201060,366.62,370.48,366.47
10/13/2023,365.28,52519880,370.57,371.16,363.86
10/12/2023,369.93,49587940,371.73,373.74,367.50
10/11/2023,371.22,38215090,369.94,371.412,368.19
10/10/2023,368.59,46968810,366.90,371.28,366.39
10/09/2023,366.56,45304770,362.30,367.11,360.78
10/06/2023,364.70,75049120,355.65,365.91,354.85
10/05/2023,358.69,45897390,359.74,360.15,355.14
10/04/2023,359.75,54786690,355.77,360.61,355.30
10/03/2023,354.92,60478490,358.78,361.01,353.275
10/02/2023,361.26,51625050,358.54,362.68,357.92
